Season,TeamID,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMss,OppOss,OppDss,AdjEMnc
2013,1278,+2.07,114.8,95,62.3,-0.036,+2.07,108.5,97.3,+2.07
2008,1274,-5.55,112.5,97.1,65.8,-0.003,-5.55,106.7,98.9,-5.55
2002,1462,+5.37,111.2,92.6,67,+.051,+5.37,106.9,101.8,+5.37
2003,1451,+1.29,111.4,102.5,66.5,+.073,+1.29,100.5,102.2,+1.29
2017,1243,-5.31,113,95.6,66.2,-0.029,-5.31,110.6,99,-5.31
2013,1217,+5.07,108.1,101.1,63.3,+.037,+5.07,102.8,102.2,+5.07
2006,1356,+0.44,102.9,89.3,60.7,+.032,+0.44,103.6,97.8,+0.44
2007,1433,+0.25,116.6,102,65.5,+.002,+0.25,104.2,104,+0.25
2014,1338,-3.66,116.9,95,62.2,-0.038,-3.66,108,100.4,-3.66
2005,1429,-4.48,116,96.4,61.1,-0.094,-4.48,101.3,103.8,-4.48
2003,1338,-8.24,114.8,86.2,64.7,-0.023,-8.24,105.5,98.4,-8.24
2011,1323,-3.83,120.9,97.7,63.1,+.074,-3.83,108.2,98.3,-3.83
2013,1329,-2.26,109,90.3,66.1,-0.016,-2.26,106.8,100.4,-2.26
2004,1390,-1.79,111.9,89.3,64.5,+.051,-1.79,105.9,102.2,-1.79
2017,1348,+1.62,111.5,95.2,66.4,-0.033,+1.62,106.8,102.5,+1.62
2012,1124,-2.7,116,94.7,65.6,+.059,-2.7,108.1,98.5,-2.7
2006,1401,-12.2,106.7,90.8,63,-0.008,-12.2,104.8,100.6,-12.2
2003,1120,-4.71,107.7,94.1,66.6,+.051,-4.71,106,97.8,-4.71
2002,1246,+6.75,113.4,91.2,68,-0.029,+6.75,110.3,97.4,+6.75
2003,1447,+2.38,104.7,105.9,67.6,+.049,+2.38,98.9,106.3,+2.38
2005,1184,+1.72,102.8,100.8,66.1,+.099,+1.72,102.4,106.3,+1.72
2009,1373,+7.27,110.3,98.4,70.7,+.031,+7.27,102.4,101.5,+7.27
2011,1424,+1.85,110.6,92.9,66.4,+.003,+1.85,106.2,100.2,+1.85
2016,1231,-3.12,121.7,98.7,68.2,+.000,-3.12,108.8,102.4,-3.12
2004,1280,-1.89,114.7,92.9,68.1,+.021,-1.89,106.3,99.9,-1.89
2004,1293,+1.25,110.5,99.9,68.7,+.064,+1.25,103.1,106.9,+1.25
2013,1443,+3.24,101.8,102.2,64.6,+.029,+3.24,100.9,103.3,+3.24
2009,1428,+6.96,110.8,92.9,65,+.013,+6.96,107.9,100.6,+6.96
2014,1211,+2.20,114,93.8,65,+.016,+2.20,109,103.9,+2.20
2012,1178,+1.14,108.1,102.6,67.1,-0.008,+1.14,102.2,101.8,+1.14
2012,1166,-0.47,119.2,102.7,65.9,+.079,-0.47,104.9,101.1,-0.47
2011,1361,+4.10,114.1,89.1,62.3,+.059,+4.10,107.6,100.1,+4.10
2003,1354,-0.55,96.4,105,71.7,+.115,-0.55,95.2,107.5,-0.55
2010,1361,+2.24,111.4,94.9,63.1,+.006,+2.24,105.3,99.9,+2.24
2013,1266,-1.14,113.2,94.9,63.3,+.090,-1.14,105.9,96.6,-1.14
2010,1393,-2.96,118.5,90.9,68.7,-0.008,-2.96,108.5,99.8,-2.96
2015,1208,+1.41,109.6,94.5,64.1,+.001,+1.41,108.6,99.9,+1.41
2002,1457,-0.98,97.3,102.6,65.9,+.038,-0.98,97.2,107.9,-0.98
2003,1428,+1.55,106.6,92.6,62.1,+.069,+1.55,106.8,101.6,+1.55
2007,1221,+0.98,103,95.6,62.5,+.025,+0.98,101.5,105.2,+0.98
2004,1190,+0.64,104.4,95.8,73.2,+.016,+0.64,102.2,104.6,+0.64
2008,1179,+0.11,120,98.5,62.9,+.011,+0.11,105.5,100.6,+0.11
2017,1455,-0.32,118.7,92.6,68,-0.021,-0.32,105,103.5,-0.32
2002,1400,+5.30,116,98.3,68.5,-0.021,+5.30,109.3,99.1,+5.30
2003,1173,+5.54,116.4,101.9,64.4,+.084,+5.54,104.4,99.5,+5.54
2012,1452,+2.04,111.4,97.9,64,-0.019,+2.04,107.3,99,+2.04
2005,1196,-4.3,116.4,92.5,65.2,-0.027,-4.3,106.6,99.5,-4.3
2009,1449,+0.09,113.1,91,72.2,-0.005,+0.09,109.4,99.2,+0.09
2010,1181,+2.50,121,87.7,64.7,+.009,+2.50,107.9,96.4,+2.50
2013,1361,+1.92,107.7,90.3,65.5,-0.049,+1.92,106.6,98.9,+1.92
2017,1153,-0.47,114.9,92.8,63.5,+.026,-0.47,107.1,103,-0.47
2010,1323,-9.08,119.4,101.7,62.4,-0.068,-9.08,106.5,100.2,-9.08
2011,1214,-4.84,94.4,98.7,66.1,+.108,-4.84,97.4,108.1,-4.84
2016,1438,+4.98,120.6,91,61.3,-0.04,+4.98,112.1,99.5,+4.98
2008,1390,-6.32,113.6,90.9,63.4,+.040,-6.32,109.1,99.7,-6.32
2012,1387,-2.55,111.9,90.7,61.9,-0.056,-2.55,105,100.6,-2.55
2005,1390,+4.14,106.6,95.9,67.1,+.049,+4.14,107.5,99.1,+4.14
2015,1107,+0.18,107.2,103.9,60.8,+.054,+0.18,100.4,105.9,+0.18
2002,1245,+2.99,116.7,96.4,64.7,+.008,+2.99,106.3,103.2,+2.99
2012,1458,-3.88,113.7,89.6,57.5,-0.018,-3.88,107.6,98.8,-3.88
2005,1393,-4.57,115.6,94.7,65.8,+.002,-4.57,106.8,100.5,-4.57
2007,1203,-5.16,105,97.7,66.9,+.089,-5.16,104.7,105.3,-5.16
2013,1181,+6.85,119.1,92.1,66.7,+.033,+6.85,108.4,98.5,+6.85
2008,1450,-6.51,115.1,90.8,58.3,-0.004,-6.51,109,100,-6.51
2016,1173,+2.58,106.6,94,67.8,+.082,+2.58,107.3,103.4,+2.58
2008,1139,+5.43,116.2,96.2,59.5,+.002,+5.43,104.3,101.5,+5.43
2008,1417,-1.63,118,88.1,64.1,+.047,-1.63,109.3,99.3,-1.63
2013,1243,-3.29,113.5,95.3,61.4,+.051,-3.29,106.1,99.3,-3.29
2003,1266,-1.46,120.5,99.2,65.7,+.070,-1.46,106,98,-1.46
2002,1218,-9.7,110.3,97.2,65.6,+.007,-9.7,103.1,103.8,-9.7
2004,1264,+1.31,109.1,95.7,65,+.012,+1.31,103.2,105,+1.31
2017,1257,+25.51,117.2,91.7,67.9,-.023,+11.14,111.6,100.5,+4.20
2009,1347,+8.71,101.2,102.1,69.2,+.076,+8.71,101,105.5,+8.71
2015,1242,+9.57,114.5,91.8,67,+.070,+9.57,110.6,97.4,+9.57
2004,1268,-1.13,110.9,91.1,71.1,-0.009,-1.13,112.1,98,-1.13
2003,1104,+2.31,110.3,95.7,65.3,-0.015,+2.31,106.6,97.1,+2.31
2012,1217,+0.65,108.8,94.4,60.7,+.027,+0.65,101.4,102.2,+0.65
2011,1435,+2.52,116.6,99.2,66.1,-0.05,+2.52,106.5,99.8,+2.52
2002,1163,+1.73,112.2,92.8,68.7,+.063,+1.73,107.5,99.3,+1.73
2017,1246,+3.74,119.1,91.4,72,+.006,+3.74,110.5,99.5,+3.74
2003,1443,+2.09,108,96.3,67.2,+.035,+2.09,103.1,102,+2.09
2002,1338,-12.07,112.1,92.2,63.8,+.000,-12.07,103.9,100.8,-12.07
2006,1231,+2.17,110,94.4,66.5,-0.012,+2.17,108.8,99,+2.17
2015,1207,+3.24,114.3,95.1,64,0,+3.24,110.5,100.3,+3.24
2010,1388,+1.18,116.5,97.9,66.2,+.038,+1.18,105.4,102.7,+1.18
2015,1277,-0.88,116.6,94.9,63.1,-0.017,-0.88,110.3,99.8,-0.88
2005,1428,-4.04,113.1,92.7,59.1,+.032,-4.04,105.9,102.3,-4.04
2013,1274,+4.96,113.6,91.3,61.9,+.028,+4.96,107.7,99.3,+4.96
2016,1401,+3.15,113.8,92.5,67.1,+.006,+3.15,109.6,101.1,+3.15
2010,1325,-0.9,107.3,99,68.8,-0.068,-0.9,103.1,102.3,-0.9
2007,1394,+2.12,114.1,106.4,68.1,+.057,+2.12,100.8,105.9,+2.12
2009,1280,-3.07,107.8,96.2,67.2,-0.004,-3.07,105.3,100.3,-3.07
2012,1140,+0.38,106.3,93.5,72.6,+.020,+0.38,105.1,103.8,+0.38
2011,1199,-1.82,104.5,87.7,66.7,-0.017,-1.82,107.1,100.1,-1.82
2014,1269,+5.53,110,96.5,70.3,+.065,+5.53,108,100.6,+5.53
2013,1308,+3.94,104.7,97.1,63.8,+.039,+3.94,102.7,102.3,+3.94
2005,1454,+7.63,110.1,95.4,68.8,+.079,+7.63,104.6,102.3,+7.63
2010,1308,+2.09,111.6,105.5,70.3,+.122,+2.09,105.8,101.7,+2.09
2003,1141,+2.87,109.5,99.4,71.7,+.137,+2.87,104.3,102.3,+2.87
2010,1345,-1.26,109.8,87.7,66.2,+.070,-1.26,107.8,99,-1.26
2004,1412,+1.60,108.1,94.5,70.7,+.019,+1.60,105.8,100.4,+1.60
2002,1434,+2.06,111.5,97.8,68.7,-0.032,+2.06,103.2,104.8,+2.06
2014,1326,-3.36,109.3,88,64,-0.043,-3.36,109.2,101.4,-3.36
2013,1285,+8.71,104.9,102.8,62.7,+.175,+8.71,101.8,107,+8.71
2008,1340,+3.95,108.6,103.2,66.3,+.062,+3.95,102.7,106.2,+3.95
2011,1389,+4.62,95.2,92.5,64.1,+.073,+4.62,103.2,102.3,+4.62
2015,1323,-11.62,125.4,100.4,63.4,+.062,-11.62,107.7,100.1,-11.62
2014,1344,+0.81,114.6,100.8,62.9,+.051,+0.81,109.2,100.8,+0.81
2017,1308,+7.89,110.5,102.6,67.9,+.063,-4.52,101.0,105.6,-4.82
2016,1372,+4.79,112.2,96.6,67.3,+.007,+4.79,102.7,108.6,+4.79
2002,1285,+0.44,102.4,106.9,68.5,+.053,+0.44,103.4,105.4,+0.44
2011,1228,+3.15,113.3,93.1,64.8,-0.074,+3.15,110.6,98.3,+3.15
2017,1305,-1.12,114.6,101.3,69.7,+.055,-1.12,104.5,103.2,-1.12
2003,1261,-8.36,111,92.8,67.5,-0.035,-8.36,104.8,98.6,-8.36
2004,1272,+1.83,111.8,95.6,66.6,+.012,+1.83,105.7,100.2,+1.83
2002,1335,+0.98,110.2,98,65.6,-0.019,+0.98,102.2,104.5,+0.98
2010,1452,+5.45,117.2,91.7,62.6,+.057,+5.45,110,97.5,+5.45
2009,1433,+3.46,110.1,96.4,65.8,-0.073,+3.46,102.9,102.7,+3.46
2008,1373,+3.69,108.6,100.7,67.6,+.036,+3.69,104.1,105.5,+3.69
2013,1322,+8.11,106.6,103.8,71.9,+.075,+8.11,99.6,103.2,+8.11
2003,1328,-2.32,112.1,89.1,62.7,+.034,-2.32,106.7,97.7,-2.32
2011,1458,-3.58,122.3,96.5,56.9,-0.003,-3.58,110,99.2,-3.58
2013,1161,-0.49,117.9,98.8,63.8,+.020,-0.49,105.8,98.6,-0.49
2009,1155,-4.45,116.4,96.7,67.9,-0.024,-4.45,105.4,99.2,-4.45
2002,1228,+6.79,115.7,92.5,68.5,+.016,+6.79,110,99.4,+6.79
2007,1460,-2.57,104.5,97.8,63,+.137,-2.57,105.7,105.5,-2.57
2009,1140,+0.39,114,93.9,69,-0.046,+0.39,105.4,100.9,+0.39
2002,1332,-3.3,119.2,96.3,71.1,-0.041,-3.3,108.3,100.2,-3.3
2011,1338,-3.68,120.6,93.5,61.8,-0.023,-3.68,107.6,99.4,-3.68
2002,1423,+4.57,107.4,96.1,63.9,-0.003,+4.57,103.4,102.6,+4.57
2014,1196,+2.39,116.5,88,61.3,+.053,+2.39,109.4,100.4,+2.39
2013,1387,-3.98,108.6,88.6,63.8,+.000,-3.98,104.5,100.6,-3.98
2007,1231,+1.51,115.4,93.8,64.9,-0.058,+1.51,108.5,98.5,+1.51
2002,1385,-0.79,102.7,93.6,69.1,+.089,-0.79,106.7,100.3,-0.79
2005,1210,-4.87,109.2,90,68.6,-0.038,-4.87,108.9,98,-4.87
2013,1166,+1.63,118.3,96.5,63.8,-0.009,+1.63,105.5,99.7,+1.63
2005,1416,-4.62,105,107.6,60.1,+.067,-4.62,99,107.7,-4.62
2005,1203,+0.84,109.9,95.5,70.8,-0.013,+0.84,103.6,103.1,+0.84
2004,1314,+2.76,117.4,94.1,70.9,-0.091,+2.76,110.2,96.4,+2.76
2016,1274,+2.63,119.4,96.9,65.9,+.077,+2.63,111.6,99.9,+2.63
2006,1335,+1.85,101.8,94.5,64.3,-0.03,+1.85,100,105,+1.85
2003,1335,+3.49,110.3,96.9,63.3,+.035,+3.49,100.4,102,+3.49
2011,1437,-0.79,114.9,97,65,-0.04,-0.79,108.3,99.3,-0.79
2016,1276,-2.15,114.6,100.5,65.8,+.013,-2.15,110.1,101.1,-2.15
2011,1364,+6.12,103.7,100.5,64.1,+.002,+6.12,104.1,103.9,+6.12
2014,1112,+1.62,116.5,86.4,62.8,+.014,+1.62,109.9,100.6,+1.62
2014,1459,+7.63,100.6,102.6,60.5,+.025,+7.63,103.5,109.3,+7.63
2017,1423,+2.17,118,105.5,70.3,+.039,+2.17,105.1,104.7,+2.17
2002,1373,-0.42,100.8,102,66.5,-0.07,-0.42,100.3,104.4,-0.42
2002,1356,+3.16,109.2,95.7,70.6,+.034,+3.16,105.4,103.3,+3.16
2015,1217,+0.36,104.8,95.6,61.1,+.091,+0.36,104.3,104.5,+0.36
2013,1272,+0.43,107.3,91,68.3,+.056,+0.43,104.8,102.9,+0.43
2008,1443,+1.69,111.9,97.3,68.2,-0.021,+1.69,103.3,104.2,+1.69
2008,1272,+5.45,118,86.5,68.1,+.012,+5.45,107,101.1,+5.45
2014,1153,-4.57,109.7,90.4,61.1,+.036,-4.57,107.3,102.6,-4.57
2015,1411,+15.16,104.1,107.9,63.3,+.128,+15.16,100,106.8,+15.16
2011,1449,+1.07,117.7,96,69.9,-0.099,+1.07,106.9,99.7,+1.07
2004,1435,-6.57,113.6,95,65,-0.002,-6.57,108,100.1,-6.57
