NCAA,ESPN,ESPN_PBP,conference,network_col,kenpom
Georgetown,Georgetown,Georgetown,Big East,grey,georgetown
Georgia,Georgia,Georgia,SEC,red,georgia
Georgia St.,Georgia State,Georgia State,Sunbelt,blue,georgiast.
Georgia Tech,Georgia Tech,Georgia Tech,ACC,gold,georgiatech
Gonzaga,Gonzaga,Gonzaga,WCC,royalblue3,gonzaga
Grambling,Grambling,Grambling,SWAC,gold,grambling
Grand Canyon,Grand Canyon,Grand Canyon,WAC,purple,grandcanyon
Green Bay,Green Bay,Green Bay,Horizon,seagreen,greenbay
Hampton,Hampton,Hampton,MEAC,blue,hampton
Hartford,Hartford,Hartford,Am. East,red,hartford
Harvard,Harvard,Harvard,Ivy,firebrick4,harvard
Hawaii,Hawai'i,Hawai'i,Big West,forestgreen,hawaii
High Point,High Point,High Point,Big South,grey,highpoint
Hofstra,Hofstra,Hofstra,CAA,blue,hofstra
Holy Cross,Holy Cross,Holy Cross,Patriot,purple,holycross
Houston,Houston,Houston,AAC,red,houston
Houston Baptist,Houston Baptist,Houston Baptist,Southland,royalblue2,houstonbaptist
Howard,Howard,Howard,MEAC,grey,howard
Idaho,Idaho,Idaho,Big Sky,gold,idaho
Idaho St.,Idaho State,Idaho State,Big Sky,orange,idahost.
Ill.-Chicago,UIC,UIC,Horizon,royalblue3,ill.-chicago
Illinois,Illinois,Illinois,Big 10,orange,illinois
Illinois St.,Illinois State,Illinois State,MVC,red,illinoisst.
Incarnate Word,Incarnate Word,Incarnate Word,Southland,red,incarnateword
Indiana,Indiana,Indiana,Big 10,firebrick2,indiana
Indiana St.,Indiana State,Indiana State,MVC,royalblue1,indianast.
Iona,Iona,Iona,MAAC,firebrick2,iona
Iowa,Iowa,Iowa,Big 10,gold,iowa
Iowa St.,Iowa State,Iowa State,Big 12,maroon,iowast.
IUPUI,IUPUI,IUPUI,Horizon,red,iupui
Jackson St.,Jackson State,Jackson State,SWAC,grey,jacksonst.
Jacksonville,Jacksonville,Jacksonville,A-Sun,forestgreen,jacksonville
Jacksonville St.,Jacksonville St,Jacksonville State,OVC,red,jacksonvillest.
James Madison,JMU,James Madison,CAA,purple,jamesmadison
Kansas,Kansas,Kansas,Big 12,royalblue1,kansas
Kansas St.,Kansas State,Kansas State,Big 12,purple,kansasst.
Kennesaw St.,Kennesaw State,Kennesaw State,A-Sun,gold,kennesawst.
Kent St.,Kent State,Kent State,MAC,gold,kentst.
Kentucky,Kentucky,Kentucky,SEC,royalblue2,kentucky
La Salle,La Salle,La Salle,A-10,royalblue3,lasalle
La.-Monroe,UL Monroe,UL Monroe,Sunbelt,maroon,la.-monroe
Lafayette,Lafayette,Lafayette,Patriot,maroon,lafayette
Lamar University,Lamar,Lamar,Southland,red,lamaruniversity
Lehigh,Lehigh,Lehigh,Patriot,brown,lehigh
Liberty,Liberty,Liberty,Big South,royalblue3,liberty
Lipscomb,Lipscomb,Lipscomb,A-Sun,purple,lipscomb
Little Rock,Little Rock,Little Rock,Sunbelt,maroon,littlerock
LIU Brooklyn,LIU Brooklyn,LIU Brooklyn,NEC,gold,liubrooklyn
Long Beach St.,Long Beach St,Long Beach State,Big West,gold,longbeachst.
Longwood,Longwood,Longwood,Big South,royalblue3,longwood
Louisiana,Louisiana,Louisiana,Sunbelt,red,louisiana
Louisiana Tech,LA Tech,Louisiana Tech,C-USA,blue,louisianatech
Louisville,Louisville,Louisville,ACC,red,louisville
Loyola Chicago,Loyola-Chicago,Loyola-Chicago,MVC,maroon,loyolachicago
Loyola Maryland,Loyola (MD),Loyola (MD),Patriot,forestgreen,loyolamaryland
Loyola Marymount,Loyola Mary,Loyola Marymount,WCC,maroon,loyolamarymount
LSU,LSU,LSU,SEC,purple,lsu
Maine,Maine,Maine,Am. East,skyblue,maine
Manhattan,Manhattan,Manhattan,MAAC,forestgreen,manhattan
Marist,Marist,Marist,MAAC,red,marist
Marquette,Marquette,Marquette,Big East,gold,marquette
Marshall,Marshall,Marshall,C-USA,forestgreen,marshall
Maryland,Maryland,Maryland,Big 10,red,maryland
Massachusetts,UMass,Massachusetts,A-10,firebrick3,massachusetts
McNeese,McNeese,McNeese,Southland,blue,mcneese
Memphis,Memphis,Memphis,AAC,royalblue2,memphis
Mercer,Mercer,Mercer,Southern,orange,mercer
Miami (FL),Miami,Miami,ACC,orange,miamifl(fl)
Miami (OH),Miami (OH),Miami (OH),MAC,red,miamifl(oh)
Michigan,Michigan,Michigan,Big 10,royalblue3,michigan
Michigan St.,Michigan State,Michigan State,Big 10,forestgreen,michiganst.
Middle Tenn.,Mid Tennessee,Middle Tennessee,C-USA,royalblue3,middletenn.
Milwaukee,Milwaukee,Milwaukee,Horizon,gold,milwaukee
Minnesota,Minnesota,Minnesota,Big 10,firebrick3,minnesota
Mississippi St.,Miss St,Mississippi State,SEC,firebrick4,mississippist.
Mississippi Val.,Miss Valley St,Mississippi Valley State,SWAC,forestgreen,mississippival.
Missouri,Missouri,Missouri,SEC,gold,missouri
Missouri St.,Missouri State,Missouri State,MVC,maroon,missourist.
Monmouth,Monmouth,Monmouth,MAAC,royalblue3,monmouth
Montana,Montana,Montana,Big Sky,maroon,montana
Montana St.,Montana State,Montana State,Big Sky,gold,montanast.
Morehead St.,Morehead State,Morehead State,OVC,blue,moreheadst.
Morgan St.,Morgan State,Morgan State,MEAC,grey,morganst.
Mt. St. Mary's,Mt St Mary's,Mt. St. Mary's,NEC,grey,mt.st.mary's
Murray St.,Murray State,Murray State,OVC,gold,murrayst.
N.C. A&T,NC A&T,North Carolina A&T,MEAC,gold,n.c.a&t
N.C. Central,NC Central,North Carolina Central,MEAC,skyblue,n.c.central
Navy,Navy,Navy,Patriot,gold,navy
Nebraska,Nebraska,Nebraska,Big 10,red,nebraska
Nevada,Nevada,Nevada,MWC,royalblue3,nevada
New Hampshire,UNH,New Hampshire,Am. East,grey,newhampshire
New Mexico,New Mexico,New Mexico,MWC,red,newmexico
New Mexico St.,New Mexico St,New Mexica State,WAC,maroon,newmexicost.
New Orleans,New Orleans,New Orleans,Southland,royalblue1,neworleans
Niagara,Niagara,Niagara,MAAC,purple,niagara
Nicholls St.,Nicholls,Nicholls,Southland,red,nichollsst.
NJIT,NJIT,NJIT,A-Sun,red,njit
Norfolk St.,Norfolk State,Norfolk State,MEAC,forestgreen,norfolkst.
North Carolina,UNC,North Carolina,ACC,skyblue,northcarolina
