Teams:                                    W   L   T     SOS       PR
118 MARSHALL                                  24  10   0    62.78    68.53
119 CONNECTICUT                               14  18   0    72.86    68.43
120 LA SALLE                                  13  19   0    69.77    68.34
121 NORTHERN IOWA                             16  16   0    66.59    68.34
122 MERCER                                    19  14   0    62.84    68.04
123 DAYTON                                    14  17   0    69.27    67.98
124 WYOMING                                   20  13   0    67.21    67.94
125 ST. LOUIS                                 17  16   0    68.30    67.86
126 ALBANY                                    22  10   0    62.96    67.47
127 SAN DIEGO                                 19  13   0    62.99    67.44
128 CANISIUS                                  21  12   0    62.90    67.40
129 UTAH VALLEY ST.                           23  10   0    57.31    67.35
130 RIDER                                     22  10   0    64.40    67.30
131 TEXAS ARLINGTON                           21  13   0    64.51    67.29
132 TOLEDO                                    23  11   0    63.29    67.25
133 TULANE                                    14  17   0    67.90    67.02
134 CAL STATE FULLERTON                       20  11   0    62.59    66.93
135 JACKSONVILLE ST.                          22  12   0    60.91    66.88
136 S. F. AUSTIN                              28   7   0    55.15    66.81
137 HARVARD                                   18  14   0    64.97    66.81
138 TOWSON ST.                                18  14   0    63.48    66.74
139 ALABAMA BIRMINGHAM                        20  13   0    61.71    66.71
140 LOUISIANA TECH                            17  16   0    62.99    66.62
141 RICHMOND                                  12  20   0    69.84    66.59
142 BRADLEY                                   20  13   0    64.10    66.56
143 VALPARAISO                                15  17   0    65.21    66.49
144 SAN FRANCISCO                             19  15   0    65.83    66.45
145 GEORGIA SOUTHERN                          21  12   0    61.60    66.36
146 AUSTIN PEAY                               19  14   0    63.67    66.25
147 HOFSTRA                                   19  12   0    64.95    66.25
148 WINTHROP                                  19  12   0    60.27    66.12
149 DRAKE                                     17  16   0    65.65    66.09
150 SOUTHERN ILLINOIS                         20  13   0    65.60    66.09
151 MISSOURI ST.                              18  15   0    63.39    66.02
152 WILLIAM & MARY                            19  12   0    63.15    65.97
153 ILLINOIS ST.                              18  15   0    67.66    65.89
154 UTAH ST.                                  17  17   0    65.92    65.78
155 MONMOUTH NJ                               11  20   0    67.30    65.68
156 NORTH TEXAS                               16  17   0    61.85    65.57
157 PITTSBURGH                                 8  24   0    74.02    65.53
158 MARYLAND BALTIMORE COUNTY                 24  10   0    60.19    65.45
159 EASTERN MICHIGAN                          22  12   0    59.34    65.44
160 WASHINGTON ST.                            12  19   0    68.99    65.31
161 LIBERTY                                   21  14   0    58.32    65.22
162 NORTH CAROLINA ASHEVILLE                  21  13   0    62.89    65.11
163 GEORGE WASHINGTON                         15  18   0    67.82    65.09
164 MASSACHUSETTS                             13  20   0    68.11    65.01
165 BALL ST.                                  19  13   0    63.92    64.92
166 TEXAS SAN ANTONIO                         20  14   0    60.68    64.86
167 WRIGHT ST.                                25  10   0    60.04    64.69
168 GRAND CANYON                              22  12   0    57.22    64.69
169 NORTHERN COLORADO                         22  12   0    56.90    64.67
170 RADFORD                                   23  13   0    62.17    64.49
171 PORTLAND ST.                              20  13   0    59.74    64.45
172 WAGNER                                    23  10   0    59.51    64.42
173 LEHIGH                                    16  14   0    63.75    64.37
174 DUQUESNE                                  16  16   0    63.44    64.34
175 CENTRAL MICHIGAN                          20  14   0    59.57    64.30
176 SOUTH DAKOTA                              26   9   0    54.27    64.27
177 EVANSVILLE                                17  15   0    62.51    64.24
178 WESTERN MICHIGAN                          17  15   0    63.22    64.11
179 YALE                                      16  15   0    64.75    64.11
180 CAMPBELL                                  17  15   0    59.26    64.05
181 INDIANA ST.                               13  18   0    64.83    64.02
182 OAKLAND MI                                19  14   0    62.81    64.02
183 CALIFORNIA SANTA BARBARA                  23   9   0    58.04    63.94
184 COLGATE                                   19  14   0    62.24    63.85
185 PACIFIC                                   14  18   0    64.87    63.84
186 ST. PETER'S                               14  18   0    64.34    63.80
187 FLORIDA GULF COAST                        23  12   0    55.20    63.57
188 APPALACHIAN ST.                           15  18   0    61.96    63.45
189 CALIFORNIA IRVINE                         18  17   0    62.53    63.38
190 CALIFORNIA DAVIS                          22  11   0    58.80    63.16
191 STONY BROOK                               13  19   0    65.03    63.09
192 GEORGE MASON                              16  17   0    67.15    63.07
193 TENNESSEE TECH                            19  14   0    62.15    63.07
194 PRINCETON                                 13  16   0    62.67    63.02
195 NAVY                                      20  12   0    62.09    62.98
196 WEBER ST.                                 20  11   0    58.21    62.95
197 IDAHO                                     22   9   0    58.71    62.94
198 NIAGARA                                   19  14   0    64.38    62.81
199 MANHATTAN                                 14  17   0    64.15    62.75
200 LIPSCOMB                                  23   9   0    56.91    62.74
201 FAIRFIELD                                 17  16   0    64.19    62.73
202 ILLINOIS CHICAGO                          18  15   0    58.25    62.69
203 ELON                                      14  18   0    64.28    61.89
204 HAWAII                                    17  13   0    60.56    61.80
205 KENT ST.                                  17  17   0    62.79    61.78
206 CALIFORNIA                                 8  24   0    69.98    61.72
207 ST. FRANCIS PA.                           18  13   0    60.71    61.55
208 TENNESSEE ST.                             15  15   0    62.37    61.53
209 ARMY                                      13  17   0    62.03    61.52
210 FAIRLEIGH DICKINSON                       13  18   0    62.88    61.46
211 LOYOLA MARYMOUNT                          11  20   0    65.11    61.37
212 HARTFORD                                  19  14   0    61.74    61.35
213 BROWN                                     11  16   0    63.10    61.33
214 HOLY CROSS                                12  19   0    64.85    61.33
215 CENTRAL ARKANSAS                          18  16   0    59.53    61.19
216 EASTERN WASHINGTON                        20  15   0    60.42    61.17
217 CHARLESTON SOUTHERN                       15  16   0    58.82    61.14
218 SOUTH FLORIDA                             10  22   0    66.39    61.02
219 NEW HAMPSHIRE                             10  21   0    61.89    60.95
220 WISCONSIN MILWAUKEE                       16  17   0    61.15    60.91
221 JAMES MADISON                             10  22   0    64.07    60.86
222 PEPPERDINE                                 6  26   0    66.84    60.86
223 MT. ST. MARY'S MD.                        18  14   0    60.00    60.82
224 DREXEL                                    13  20   0    64.56    60.80
225 TROY ST.                                  16  17   0    60.12    60.50
226 LONG BEACH ST.                            15  18   0    62.91    60.48
227 SEATTLE                                   20  14   0    57.44    60.47
228 BOSTON UNIVERSITY                         15  16   0    62.88    60.41
229 FLORIDA ATLANTIC                          12  19   0    61.34    60.31
230 LONG ISLAND UNIVERSITY                    18  17   0    59.82    60.30
231 COASTAL CAROLINA                          14  18   0    59.75    60.25
232 AIR FORCE                                 12  19   0    62.89    60.20
233 SAM HOUSTON ST.                           19  14   0    57.94    60.16
234 GARDNER-WEBB                              14  18   0    61.28    60.14
235 DELAWARE                                  14  19   0    63.69    60.13
236 NICHOLLS ST.                              21  11   0    54.28    60.13
237 IUPU FT. WAYNE                            18  15   0    55.61    60.09
238 FORDHAM                                    9  22   0    67.34    59.97
239 COLORADO ST.                              11  21   0    66.50    59.94
240 SOUTHERN MISSISSIPPI                      16  18   0    61.07    59.94
241 FLORIDA INTERNATIONAL                     14  18   0    60.74    59.94
242 COLUMBIA                                   8  19   0    62.31    59.92
243 LOYOLA MARYLAND                            9  22   0    64.56    59.90
244 SOUTH ALABAMA                             14  18   0    60.20    59.81
245 MASS-LOWELL                               12  18   0    62.11    59.69
246 MIAMI OHIO                                16  18   0    60.90    59.56
247 NORTHERN ILLINOIS                         13  19   0    62.08    59.56
248 TEXAS SOUTHERN                            16  19   0    60.01    59.54
249 TEXAS EL PASO                             11  20   0    63.44    59.54
250 OHIO UNIVERSITY                           14  17   0    61.21    59.54
251 LOUISIANA MONROE                          16  16   0    58.72    59.51
252 NORTH CAROLINA WILMINGTON                 11  21   0    64.17    59.39
253 PORTLAND                                  10  22   0    64.00    59.12
254 ROBERT MORRIS                             16  17   0    60.94    59.00
255 HIGH POINT                                14  16   0    57.92    58.99
256 CAL STATE BAKERSFIELD                     12  18   0    61.35    58.76
257 DENVER                                    15  15   0    59.43    58.63
258 BOWLING GREEN                             16  16   0    60.30    58.54
259 QUINNIPIAC                                12  21   0    63.53    58.51
260 N.J. TECH                                 14  16   0    58.27    58.48
261 SANTA CLARA                               11  20   0    64.00    58.38
262 LAMAR                                     19  14   0    55.99    58.33
263 EAST CAROLINA                             10  20   0    65.86    58.31
264 SIENA                                      8  24   0    65.66    58.03
265 ABILENE CHRISTIAN                         16  16   0    55.82    58.00
266 AKRON                                     14  18   0    61.40    57.98
267 EASTERN ILLINOIS                          12  19   0    59.78    57.96
268 SE LOUISIANA                              22  12   0    57.59    57.88
269 TEXAS ST.                                 15  18   0    58.34    57.67
270 LAFAYETTE                                 10  21   0    61.98    57.54
271 HAMPTON                                   19  16   0    54.59    57.43
272 WISCONSIN GREEN BAY                       13  20   0    57.91    57.33
273 SAN JOSE ST.                               4  26   0    66.74    57.29
274 DARTMOUTH                                  7  20   0    62.69    57.26
275 TENNESSEE CHATTANOOGA                     10  23   0    61.92    57.16
276 SOUTHERN UTAH                             13  19   0    61.44    57.12
277 CORNELL                                   12  16   0    61.70    57.10
278 NORTH CAROLINA CHARLOTTE                   6  23   0    64.05    56.95
